Enter to start.
Steppers ready.
Wavelength: 405nm
Warming up the ADCs.
5V power supply measured at 5.00V
3.3V power supply measured at 3.30V
2.5V power supply measured at 2.51V
1.8V power supply measured at 1.83V
Power supplies good.
Aiming is good.
Scanned area is 1.00 by 1.00 mm. Resolution is 20 µm.

Legend: run_number,wavelength,bus_voltage,pullup_value,x_position,y_position,measured_bus_voltage

1,405nm,5V,1kΩ,-0.50,-0.50,4.69
1,405nm,5V,1kΩ,-0.50,-0.48,4.68
1,405nm,5V,1kΩ,-0.50,-0.46,4.68
1,405nm,5V,1kΩ,-0.50,-0.44,4.68
1,405nm,5V,1kΩ,-0.50,-0.42,4.69
1,405nm,5V,1kΩ,-0.50,-0.40,4.69
1,405nm,5V,1kΩ,-0.50,-0.38,4.68
1,405nm,5V,1kΩ,-0.50,-0.36,4.68
1,405nm,5V,1kΩ,-0.50,-0.34,4.69
1,405nm,5V,1kΩ,-0.50,-0.32,4.68
1,405nm,5V,1kΩ,-0.50,-0.30,4.68
1,405nm,5V,1kΩ,-0.50,-0.28,4.69
1,405nm,5V,1kΩ,-0.50,-0.26,4.69
1,405nm,5V,1kΩ,-0.50,-0.24,4.68
1,405nm,5V,1kΩ,-0.50,-0.22,4.69
1,405nm,5V,1kΩ,-0.50,-0.20,4.69
1,405nm,5V,1kΩ,-0.50,-0.18,4.69
1,405nm,5V,1kΩ,-0.50,-0.16,4.68
1,405nm,5V,1kΩ,-0.50,-0.14,4.69
1,405nm,5V,1kΩ,-0.50,-0.12,4.68
1,405nm,5V,1kΩ,-0.50,-0.10,4.68
1,405nm,5V,1kΩ,-0.50,-0.08,4.68
1,405nm,5V,1kΩ,-0.50,-0.06,4.68
1,405nm,5V,1kΩ,-0.50,-0.04,4.68
1,405nm,5V,1kΩ,-0.50,-0.02,4.68
1,405nm,5V,1kΩ,-0.50,0.00,4.68
1,405nm,5V,1kΩ,-0.50,0.02,4.68
1,405nm,5V,1kΩ,-0.50,0.04,4.68
1,405nm,5V,1kΩ,-0.50,0.06,4.68
1,405nm,5V,1kΩ,-0.50,0.08,4.68
1,405nm,5V,1kΩ,-0.50,0.10,4.68
1,405nm,5V,1kΩ,-0.50,0.12,4.68
1,405nm,5V,1kΩ,-0.50,0.14,4.69
1,405nm,5V,1kΩ,-0.50,0.16,4.68
1,405nm,5V,1kΩ,-0.50,0.18,4.68
1,405nm,5V,1kΩ,-0.50,0.20,4.68
1,405nm,5V,1kΩ,-0.50,0.22,4.68
1,405nm,5V,1kΩ,-0.50,0.24,4.68
1,405nm,5V,1kΩ,-0.50,0.26,4.68
1,405nm,5V,1kΩ,-0.50,0.28,4.68
1,405nm,5V,1kΩ,-0.50,0.30,4.68
1,405nm,5V,1kΩ,-0.50,0.32,4.68
1,405nm,5V,1kΩ,-0.50,0.34,4.68
1,405nm,5V,1kΩ,-0.50,0.36,4.68
1,405nm,5V,1kΩ,-0.50,0.38,4.68
1,405nm,5V,1kΩ,-0.50,0.40,4.68
1,405nm,5V,1kΩ,-0.50,0.42,4.69
1,405nm,5V,1kΩ,-0.50,0.44,4.68
1,405nm,5V,1kΩ,-0.50,0.46,4.68
1,405nm,5V,1kΩ,-0.50,0.48,4.68
1,405nm,5V,1kΩ,-0.48,-0.50,4.69
1,405nm,5V,1kΩ,-0.48,-0.48,4.69
1,405nm,5V,1kΩ,-0.48,-0.46,4.68
1,405nm,5V,1kΩ,-0.48,-0.44,4.68
1,405nm,5V,1kΩ,-0.48,-0.42,4.68
1,405nm,5V,1kΩ,-0.48,-0.40,4.69
1,405nm,5V,1kΩ,-0.48,-0.38,4.69
1,405nm,5V,1kΩ,-0.48,-0.36,4.69
1,405nm,5V,1kΩ,-0.48,-0.34,4.69
1,405nm,5V,1kΩ,-0.48,-0.32,4.68
1,405nm,5V,1kΩ,-0.48,-0.30,4.69
1,405nm,5V,1kΩ,-0.48,-0.28,4.68
1,405nm,5V,1kΩ,-0.48,-0.26,4.68
1,405nm,5V,1kΩ,-0.48,-0.24,4.69
1,405nm,5V,1kΩ,-0.48,-0.22,4.68
1,405nm,5V,1kΩ,-0.48,-0.20,4.68
1,405nm,5V,1kΩ,-0.48,-0.18,4.68
1,405nm,5V,1kΩ,-0.48,-0.16,4.68
1,405nm,5V,1kΩ,-0.48,-0.14,4.69
1,405nm,5V,1kΩ,-0.48,-0.12,4.68
1,405nm,5V,1kΩ,-0.48,-0.10,4.69
1,405nm,5V,1kΩ,-0.48,-0.08,4.68
1,405nm,5V,1kΩ,-0.48,-0.06,4.68
1,405nm,5V,1kΩ,-0.48,-0.04,4.69
1,405nm,5V,1kΩ,-0.48,-0.02,4.68
1,405nm,5V,1kΩ,-0.48,0.00,4.68
1,405nm,5V,1kΩ,-0.48,0.02,4.68
1,405nm,5V,1kΩ,-0.48,0.04,4.68
1,405nm,5V,1kΩ,-0.48,0.06,4.68
1,405nm,5V,1kΩ,-0.48,0.08,4.68
1,405nm,5V,1kΩ,-0.48,0.10,4.68
1,405nm,5V,1kΩ,-0.48,0.12,4.69
1,405nm,5V,1kΩ,-0.48,0.14,4.68
1,405nm,5V,1kΩ,-0.48,0.16,4.68
1,405nm,5V,1kΩ,-0.48,0.18,4.68
1,405nm,5V,1kΩ,-0.48,0.20,4.68
1,405nm,5V,1kΩ,-0.48,0.22,4.68
1,405nm,5V,1kΩ,-0.48,0.24,4.68
1,405nm,5V,1kΩ,-0.48,0.26,4.68
1,405nm,5V,1kΩ,-0.48,0.28,4.68
1,405nm,5V,1kΩ,-0.48,0.30,4.68
1,405nm,5V,1kΩ,-0.48,0.32,4.68
1,405nm,5V,1kΩ,-0.48,0.34,4.68
1,405nm,5V,1kΩ,-0.48,0.36,4.68
1,405nm,5V,1kΩ,-0.48,0.38,4.68
1,405nm,5V,1kΩ,-0.48,0.40,4.68
1,405nm,5V,1kΩ,-0.48,0.42,4.68
1,405nm,5V,1kΩ,-0.48,0.44,4.69
1,405nm,5V,1kΩ,-0.48,0.46,4.68
1,405nm,5V,1kΩ,-0.48,0.48,4.68
1,405nm,5V,1kΩ,-0.46,-0.50,4.68
1,405nm,5V,1kΩ,-0.46,-0.48,4.68
1,405nm,5V,1kΩ,-0.46,-0.46,4.68
1,405nm,5V,1kΩ,-0.46,-0.44,4.68
1,405nm,5V,1kΩ,-0.46,-0.42,4.68
1,405nm,5V,1kΩ,-0.46,-0.40,4.68
1,405nm,5V,1kΩ,-0.46,-0.38,4.68
1,405nm,5V,1kΩ,-0.46,-0.36,4.68
1,405nm,5V,1kΩ,-0.46,-0.34,4.69
1,405nm,5V,1kΩ,-0.46,-0.32,4.68
1,405nm,5V,1kΩ,-0.46,-0.30,4.68
